objname,ra,dec,type,distance/Mpc,logmass,logmass_error
NGC1566,65.001642,-54.9378097,late,17.9,10.607,0.202
ESO495-005,124.811211,-25.1880093,late,21.52,9.565,0.224
NGC2855,140.36454,-11.9094314,early,23.785,10.636,0.247
ESO434-040,146.9176035,-30.9489068,early,31.191,9.96,0.233
ESO567-003,150.287772,-19.441619,late,50.771,9.792,0.136
NGC3227,155.8775385,19.8649777,late,19.027,10.358,0.379
ESO377-024,168.1389585,-36.4248611,late,35.952,10.453,0.214
NGC3783,174.7570875,-37.7385022,late,34.879,10.324,0.22
NGC4235,184.2912045,7.1915561,late,26.6,10.454,0.136
NGC4593,189.914238,-5.3441285,late,35.868,10.868,0.136
ESO383-035,203.9740545,-34.2955639,late,26.885,9.75,0.167
PGC538542,218.220528,-44.3216094,early,10.151,,
ESO512-020,221.2372935,-23.7943756,early,40.631,10.062,0.136
NGC6221,253.192002,-59.218049,late,15.202,10.45,0.266
NGC7213,332.318109,-47.1668438,late,20.578,10.733,0.265